,Location,Day,Month,Year,Condition,Discharge,Temp ,Sediment,pH,NH4,NO3,PO4,SO4,Runoff(mm_day),Date,Criteria
0,Brush,6,8,2001,Prefire,0,15.6,108,7.87,0,0.22,0,17.39,0,8/6/2001,Meets
1,Brush,27,9,2001,Prefire,0,11.2,2.1,8.41,0,0.46,0,15.19,0,9/27/2001,Meets
2,Brush,25,10,2001,Prefire,0,6,2.6,7.86,0,0.01,0,15.16,0,10/25/2001,Meets
3,Brush,30,11,2001,Prefire,0,3,0.5,7.85,0,0.02,0,16.25,0,11/30/2001,Meets
4,Brush,8,1,2002,Prefire,0.1,1,14.7,7.76,0,0.04,0,15.67,0.040719,1/8/2002,Meets
5,Brush,4,2,2002,Prefire,0,0.2,0.8,7.82,0,0.04,0.09,16.27,0,2/4/2002,Meets
6,Brush,4,3,2002,Prefire,0.1,0.5,1.7,7.66,0,0.05,0,16.52,0.040719,3/4/2002,Meets
7,Brush,19,4,2002,Prefire,0.1,7.3,1,7.82,0,0.04,0,17.16,0.040719,4/19/2002,Meets
8,Brush,26,6,2002,Postfire,1,12.5,24.7,7.94,0,0,0.22,23.98,0.40719,6/26/2002,Meets
9,Brush,18,7,2002,Postfire,0.8,13.8,17.8,7.94,0,0.07,0.14,19.26,0.325752,7/18/2002,Meets
10,Brush,12,8,2002,Postfire,0.5,15,5.8,7.61,0.3,0.98,0,18.17,0.203595,8/12/2002,Meets
11,Brush,13,9,2002,Postfire,0.5,13.3,0,7.63,0,0,0,27.67,0.203595,9/13/2002,Meets
12,Brush,4,11,2002,Postfire,0,3.8,211.2,8.02,0,0.38,0.06,17.27,0,11/4/2002,Meets
13,Brush,3,12,2002,Postfire,0.1,2.5,36.1,8.07,0,0.35,0,18.87,0.040719,12/3/2002,Meets
14,Brush,7,1,2003,Postfire,0.1,1.2,6.2,8.13,0,0.4,0,20.99,0.040719,1/7/2003,Meets
15,Brush,10,2,2003,Postfire,0,0.1,18.1,7.9,0,0.36,0,21.9,0,2/10/2003,Meets
16,Brush,25,3,2003,Postfire,0.4,3.9,700.8,7.81,0,4.34,0,29.5,0.162876,3/25/2003,Exceeds
17,Brush,9,4,2003,Postfire,0.5,9.1,577.7,7.92,0,4.31,0,28.92,0.203595,4/9/2003,Exceeds
18,Brush,30,4,2003,Postfire,0.1,10,54.9,8.05,0,2.12,0,25.73,0.040719,4/30/2003,Exceeds
19,Brush,2,7,2003,Postfire,0.2,12.6,340.1,8.08,0,0.42,0.08,21.14,0.081438,7/2/2003,Meets
20,Brush,29,7,2003,Postfire,0.2,17.9,728.2,8.09,0,0.29,0,18.88,0.081438,7/29/2003,Meets
21,Brush,19,8,2003,Postfire,0.1,16.2,200.2,8.02,0,0.33,0,16.54,0.040719,8/19/2003,Meets
22,Brush,9,10,2003,Postfire,0.1,13.1,49.1,8.17,0,0.27,0,16.74,0.040719,10/9/2003,Meets
23,Brush,13,11,2003,Postfire,0.1,7.3,3.6,8.14,0,0.24,0,18.71,0.040719,11/13/2003,Meets
24,Brush,10,12,2003,Postfire,0.1,1.7,10.4,8,0,0.71,0,19.53,0.040719,12/10/2003,Meets
25,Brush,25,2,2004,Postfire,0.1,6.9,76.1,8.04,0,1.53,0,21.1,0.040719,2/25/2004,Meets
26,Brush,26,3,2004,Postfire,0.1,6.5,216.1,8,0,1.83,0,21.7,0.040719,3/26/2004,Exceeds
27,Brush,17,5,2004,Postfire,0.1,12,796.2,8.02,0,2.81,0,20.26,0.040719,5/17/2004,Exceeds
28,Brush,24,6,2004,Postfire,0.3,17.2,3202.5,7.95,0,1.35,0,22.03,0.122157,6/24/2004,Meets
29,Brush,21,7,2004,Postfire,0.7,18.9,7475.7,7.98,0,3.09,0.06,20.51,0.285033,7/21/2004,Exceeds
30,Brush,12,8,2004,Postfire,0.4,17.1,673.4,8.05,0,3.75,0,26.73,0.162876,8/12/2004,Exceeds
31,Brush,30,8,2004,Postfire,0.5,15.5,7190.6,7.97,0,4.4,0,19.93,0.203595,8/30/2004,Exceeds
32,Brush,4,10,2004,Postfire,0.4,18.1,240.2,8.06,0,4.77,0.04,20.1,0.162876,10/4/2004,Exceeds
33,Brush,8,11,2004,Postfire,0.3,7.4,240.2,7.95,0,4.71,0.05,20.56,0.122157,11/8/2004,Exceeds
34,Brush,6,12,2004,Postfire,0.3,1.6,240.2,7.84,0,5.02,0,19.92,0.122157,12/6/2004,Exceeds
35,Brush,10,1,2005,Postfire,0.2,3.2,45.7,7.88,0,4.73,0.04,0.03,0.081438,1/10/2005,Exceeds
36,Brush,14,2,2005,Postfire,0.3,3,4.9,7.93,0,4.69,0,19.68,0.122157,2/14/2005,Exceeds
37,Brush,14,4,2005,Postfire,1,6.5,773,7.91,0,5.85,0,22.16,0.40719,4/14/2005,Exceeds
38,Brush,12,5,2005,Postfire,1.3,9.3,487.7,7.83,0,9.72,0,19.92,0.529347,5/12/2005,Exceeds
39,Brush,2,6,2005,Postfire,0.7,12,381.8,7.91,0,0,0,20.59,0.285033,6/2/2005,Meets
40,Brush,29,7,2005,Postfire,0.6,15.8,7.8,8.02,0,7.61,0,20.98,0.244314,7/29/2005,Exceeds
41,Brush,4,8,2005,Postfire,1,13,931,7.76,0.05,5.85,0,17.11,0.40719,8/4/2005,Exceeds
42,Brush,1,9,2005,Postfire,0.4,13,6.8,7.96,0,5.16,0,13.62,0.162876,9/1/2005,Exceeds
43,Brush,3,10,2005,Postfire,0.3,11.8,3.4,7.85,0,5.06,0,20.83,0.122157,10/3/2005,Exceeds
44,Brush,22,12,2005,Postfire,0.2,4,15.1,7.86,0,5.25,0,20.65,0.081438,12/22/2005,Exceeds
45,Brush,6,1,2006,Postfire,0.2,1.2,8,7.73,0,6,0,22.88,0.081438,1/6/2006,Exceeds
46,Brush,9,2,2006,Postfire,0.2,15,32.5,7.8,0,5.44,0,20.26,0.081438,2/9/2006,Exceeds
47,Brush,27,4,2006,Postfire,0.4,5.4,11,7.88,0.02,4.69,0,21.72,0.162876,4/27/2006,Exceeds
48,Brush,1,5,2006,Postfire,1.5,9.7,10.6,7.88,0.1,4.84,0,26.63,0.610785,5/1/2006,Exceeds
49,Brush,6,6,2006,Postfire,2.5,13.9,34.1,7.94,0.02,3.02,0.02,21.36,1.017975,6/6/2006,Exceeds
50,Brush,6,7,2006,Postfire,0.1,15.9,11.1,7.92,0.01,1.18,0.02,20.83,0.040719,7/6/2006,Meets
51,Brush,27,8,2006,Postfire,0.2,15,112.7,7.86,0.01,0.71,0,21.02,0.081438,8/27/2006,Meets
52,Brush,28,9,2006,Postfire,0.1,15.8,11.3,8,0.01,0.57,0,19.44,0.040719,9/28/2006,Meets
53,Brush,3,10,2006,Postfire,0.1,11.2,1.4,7.93,0,1.38,0,19.77,0.040719,10/3/2006,Meets
54,Brush,2,11,2006,Postfire,0.2,5.6,7.1,7.89,0.01,2.83,0,19.86,0.081438,11/2/2006,Exceeds
